starttime	seconds	ctime	dtime	ttime	wait
Wed May 13 14:51:03 2015	1431521463	7	47	54	9
Wed May 13 14:51:02 2015	1431521462	7	48	55	9
Wed May 13 14:51:03 2015	1431521463	7	48	55	9
Wed May 13 14:51:02 2015	1431521462	7	49	56	9
Wed May 13 14:51:02 2015	1431521462	7	49	56	8
Wed May 13 14:51:02 2015	1431521462	7	49	56	8
Wed May 13 14:51:03 2015	1431521463	8	48	56	9
Wed May 13 14:51:02 2015	1431521462	7	50	57	8
Wed May 13 14:51:02 2015	1431521462	7	51	58	9
Wed May 13 14:51:02 2015	1431521462	8	51	59	11
Wed May 13 14:51:03 2015	1431521463	8	48	56	9
Wed May 13 14:51:03 2015	1431521463	8	48	56	9
Wed May 13 14:51:03 2015	1431521463	7	49	56	9
Wed May 13 14:51:03 2015	1431521463	7	50	57	11
Wed May 13 14:51:03 2015	1431521463	8	49	57	9
Wed May 13 14:51:03 2015	1431521463	8	49	57	9
Wed May 13 14:51:03 2015	1431521463	7	50	57	9
Wed May 13 14:51:03 2015	1431521463	8	49	57	9
Wed May 13 14:51:03 2015	1431521463	8	49	57	9
Wed May 13 14:51:03 2015	1431521463	7	51	58	11
